idx,src,t0,dur,event,emotion,text
382,src_37,36.30,1.16,Speech,HAPPY,好好。😊
383,src_37,37.48,12.60,Speech,HAPPY,嗯，语气太神，黑上我爱你的心满满，想你一会又一会吧。辛公主耶。😊
384,src_37,50.30,1.06,Speech,-,肚嘟舒服。
385,src_37,53.16,1.90,Speech,-,深真有罩义。
386,src_37,55.22,1.36,Speech,-,速度有。
387,src_37,56.60,1.08,Speech,ANGRY,周立。😡
388,src_38,5.94,1.24,Speech,HAPPY,。😊
389,src_38,8.66,1.96,Speech,HAPPY,嗯嗯嗯。😊
390,src_38,12.60,1.14,Speech,-,读不出。
391,src_38,14.22,1.44,Speech,-,和超蝇。
392,src_38,17.88,2.18,Speech,-,哦，水车。
393,src_38,20.06,1.60,Speech,-,东风和城。
394,src_38,25.34,2.74,Speech,-,，我的穿妖精。
395,src_38,29.24,1.06,Speech,ANGRY,你个唱。😡
396,src_38,30.84,1.16,Speech,-,哼哼你。
397,src_38,32.42,2.86,Speech,-,跟着我，你们都快抓进一封。
398,src_38,35.30,5.20,Speech,-,嘟嘟用锅笔跟着我转转又冲心哦，嘟嘟有动力。
399,src_38,40.54,1.18,Speech,HAPPY,呵呵嘿音。😊
400,src_38,42.64,2.58,Speech,ANGRY,让我们一起喝仗义。😡
401,src_38,45.26,1.26,Speech,-,用用。
402,src_38,49.72,1.10,Speech,ANGRY,用力。😡
403,src_38,51.62,2.22,BGM,HAPPY,🎼嘿嘿。😊
404,src_39,0.04,1.60,Speech,NEUTRAL,嗯啊5。
405,src_39,2.04,1.78,Speech,-,一小时过去了。
406,src_39,4.34,1.46,Speech,HAPPY,还没有鱼养。😊
407,src_39,7.34,0.96,Speech,ANGRY,再等等就有了。😡
408,src_39,10.84,2.32,Speech,HAPPY,嘿哦哈哈。😊
409,src_39,16.94,1.32,Speech,-,嗨。
410,src_39,19.34,2.66,Speech,ANGRY,嗯，这个地方的鱼根本就不咬钩。😡
411,src_39,23.60,1.04,Speech,-,嗯，我。
412,src_39,24.64,1.34,Speech,SAD,帮你问问。😔
413,src_39,32.00,1.66,Speech,ANGRY,你们为什么不要？😡
414,src_39,34.46,1.00,Speech,ANGRY,我就不吃。😡
415,src_39,35.66,1.50,Speech,-,还想吃啥？
416,src_39,37.26,2.42,Speech,ANGRY,你难道想让我做鱼饵吗？😡
417,src_39,40.58,2.56,Speech,HAPPY,啊啊嗯。😊
418,src_39,44.50,6.62,Speech,ANGRY,嗯，不是这样摇后的，刮过奶。😡
419,src_40,2.70,1.00,Speech,ANGRY,肚子填饱。😡
420,src_40,3.70,1.20,Speech,-,爸啊我。
421,src_40,5.08,1.32,Speech,-,木画。
422,src_40,6.80,1.70,Speech,ANGRY,不愧是老吃家。😡
423,src_40,11.70,1.42,Speech,-,姐姐姐。
424,src_40,14.26,2.62,Speech,ANGRY,尝着我最新修炼的铁头功吧。😡
425,src_40,17.78,2.86,Speech,-,啊，起重了。
426,src_40,23.58,1.50,Speech,-,怎么了？
427,src_40,28.00,1.64,Speech,ANGRY,找你的铁头。😡
