idx,src,t0,t1,dur,visual_label,visual_class,redimnet_margin,eres2netv2_margin,ensemble_score,production_score,decision,text
234,src_24,4.36,5.62,1.38,,,0.091563,0.124863,0.564209,0.760261,auto_accept,这次我们比速度。😡
235,src_24,5.80,6.70,1.02,,,0.121587,0.099710,0.565848,0.549359,auto_accept,开始学豆角。😡
236,src_24,7.98,15.68,7.82,,,0.063583,0.035639,0.090340,0.012122,review,宝贝快说大装什面我要要啊，我也要一个这样的针。😡
237,src_24,17.02,22.32,5.42,,,0.060818,0.078436,0.259905,0.370977,auto_accept,谁死了，我出来了，不色龙了，我出来了。😊
238,src_25,0.94,3.18,2.36,,,0.186767,0.085664,0.739446,0.431582,auto_accept,小气到底是什么呀？😡
239,src_25,3.44,5.98,2.66,,,-0.029897,-0.050707,-0.605090,-0.711889,review,我送你的新年礼物，你一定会喜欢。😡
240,src_25,6.24,7.06,0.94,,,-0.060194,0.076449,-0.180055,0.354312,auto_accept,咦。😊
241,src_25,7.56,8.60,1.16,,,0.014744,0.022134,-0.140479,-0.101120,review,哇。
242,src_25,12.10,13.12,1.14,,,-0.131362,-0.073138,-1.061041,-0.899978,auto_reject,这是声控灯泡。😡
243,src_25,13.32,14.44,1.24,,,0.023860,-0.034822,-0.346752,-0.578694,review,叫一声就会亮哦。😡
244,src_25,14.68,16.32,1.76,,,0.019882,0.068706,0.073102,0.289389,auto_accept,啊。
245,src_25,22.06,22.96,1.02,,,-0.030650,-0.052457,-0.615114,-0.726566,review,哇。
246,src_25,23.12,26.96,3.96,,,0.000797,0.014561,-0.221975,-0.164616,review,这个氛围都好有 feel哦，小气。😊
247,src_25,27.14,29.58,2.56,,,0.204460,0.135816,1.012813,0.852107,auto_accept,我也有个新年礼物送给你哦。😡
248,src_25,29.76,34.88,5.24,,,0.016128,-0.030331,-0.355504,-0.541038,review,我没想到你会坐我车，坐个车那么好，也太贵重了诶。😮
249,src_25,36.00,37.06,1.18,,,-0.057280,0.000694,-0.487264,-0.280895,review,上汽大众，2月底前。😡
250,src_25,37.28,40.92,3.76,,,-0.061150,-0.015161,-0.567539,-0.413836,review,全车器都有至高减免50%购置税，日常使用油耗低。😡
251,src_25,41.04,42.20,1.28,,,-0.046653,-0.039108,-0.616230,-0.614635,review,省这一外真的值。😡
252,src_25,43.86,45.84,2.10,,,-0.043417,-0.020621,-0.527177,-0.459616,review,你们怎么在我车上？😡
253,src_25,50.02,51.46,1.56,,,0.078570,0.008880,0.031608,-0.212255,review,这不是你送我的礼物吗？😡
254,src_25,52.84,54.28,1.56,,,0.108897,0.059823,0.353359,0.214903,review,我说你打火机。😔
255,src_25,54.50,56.28,1.90,,,0.150367,0.074486,0.562752,0.337857,auto_accept,想要点亮你的心。😔
256,src_25,56.44,59.04,2.69,,,0.018273,0.027382,-0.105888,-0.057111,review,😀嗯。
257,src_26,0.24,2.96,2.84,,,0.137241,0.047355,0.402181,0.110358,review,星星点灯照亮我的。😡
258,src_26,4.08,6.76,2.80,,,0.016479,0.117475,0.265425,0.698313,auto_accept,我要。
259,src_26,9.20,10.62,1.54,,,0.099727,0.077848,0.396217,0.366041,auto_accept,脆弱的人类。
260,src_26,12.06,14.74,2.80,,,0.051913,0.086467,0.261814,0.438316,auto_accept,欺人太煞接招。😡
261,src_26,15.54,16.82,1.40,,,0.108507,0.148713,0.724635,0.960244,auto_accept,小雷龙喷火。😡
262,src_26,16.94,17.86,1.04,,,-0.024715,0.074552,-0.061460,0.338408,auto_accept,嗯。
263,src_26,19.56,23.54,4.09,,,0.120315,0.139949,0.730011,0.886759,auto_accept,你们去了吗？出再多放点自首。😡
264,src_27,0.26,2.12,1.98,,,0.059533,0.078828,0.256967,0.374265,auto_accept,我感觉尾巴有点疼。😡
265,src_27,3.14,8.02,5.00,,,0.073424,0.030066,0.102077,-0.034605,review,这是七步蛇，被摇做七步就会没命的。啊，我刚刚找了几个雷渣。😡
266,src_27,8.16,10.56,2.52,,,0.015479,-0.023700,-0.330017,-0.485439,review,总之不要再走了，这的会没命的。😡
267,src_27,11.16,15.30,4.26,,,0.062230,0.069314,0.226697,0.294484,auto_accept,我有办法，那我没主题步，不咬一口就好了。😮
268,src_27,16.58,21.16,4.70,,,0.035943,0.040901,0.013813,0.056242,review,O。😊
269,src_27,21.34,25.38,4.12,,,0.034888,0.010191,-0.118698,-0.201257,review,大家吃好喝好，接着都愿接着我。😊
270,src_28,0.30,7.78,7.60,,,-0.051507,0.024009,-0.368926,-0.085400,review,🎼准备好了，开始了，在小小的花园里，怎么会有有吃错饭。😊
271,src_28,9.76,16.72,7.08,,,0.013391,0.078093,0.089304,0.368098,auto_accept,🎼看我花芽花种小小的种子，开小小的屋。😊
272,src_28,17.62,19.68,2.18,,,-0.002976,-0.004736,-0.316336,-0.326425,review,肉酷。
273,src_28,21.56,22.44,1.00,,,0.175505,0.066146,0.617445,0.267920,auto_accept,很壮很热。
274,src_28,25.18,29.14,4.08,,,0.100512,0.071363,0.371830,0.311668,auto_accept,你做的饭呃呃，糟糕忘记做饭了。😡
275,src_28,30.24,32.58,2.46,,,0.097154,0.020660,0.147284,-0.113474,review,二楼洗手吃饭啦。😊
276,src_28,33.08,34.34,1.38,,,0.031619,-0.060433,-0.426451,-0.793444,review,哇哇。
277,src_28,35.06,42.32,7.38,,,0.063492,0.050490,0.152278,0.136644,review,🎼手。😊
278,src_28,42.72,45.06,2.46,,,0.094359,0.107622,0.501902,0.615701,auto_accept,妈妈节快乐。😊
279,src_28,45.34,46.70,1.48,,,0.094555,0.001615,0.058165,-0.273173,review,送你个盘子。😡
280,src_28,46.82,47.82,1.12,,,0.024107,-0.034676,-0.345259,-0.577470,review,永远爱你。
281,src_28,49.02,49.90,1.00,,,0.060087,-0.018973,-0.151091,-0.445801,review,谢谢你们。😊
282,src_28,50.16,53.88,3.84,,,0.037210,-0.022558,-0.247720,-0.475862,review,妈妈也永远爱你们好，都给妈妈留言。😊
283,src_28,54.04,55.06,1.14,,,-0.036226,-0.060550,-0.668931,-0.794423,review,啊看。
284,src_28,56.38,58.76,2.50,,,-0.032875,-0.069095,-0.692802,-0.866071,auto_reject,😀。😊
285,src_29,1.18,6.60,5.54,,,0.044945,-0.043204,-0.306690,-0.648978,review,🎼你叫啊，你小破喉咙也没有人来救你了。😊
286,src_29,6.72,8.40,1.80,,,0.069699,0.072749,0.267741,0.323293,auto_accept,好了好了呃。
287,src_29,10.82,11.94,1.24,,,0.077894,0.068156,0.277710,0.284774,auto_accept,放开那个宝宝。😡
288,src_29,12.08,13.26,1.30,,,0.095904,0.126426,0.586246,0.773370,auto_accept,够我的丢。😡
289,src_29,13.78,18.02,4.36,,,-0.030804,0.017024,-0.324361,-0.143962,review,敢跳你吗？还是我们来救你哼。😡
290,src_29,18.56,20.00,1.56,,,0.127211,0.161748,0.846002,1.069549,auto_accept,你们给我等着。😡
291,src_29,20.18,21.62,1.56,,,0.157175,0.110390,0.737556,0.638907,auto_accept,包 you7!
292,src_29,24.86,25.76,1.02,,,-0.051625,0.008805,-0.433087,-0.212880,review,好。
293,src_29,26.52,36.36,9.96,,,0.020398,-0.028067,-0.330780,-0.522054,review,搞死他们，蓝控要黑屏。😊
294,src_29,38.94,40.00,1.18,,,-0.003146,0.013182,-0.241823,-0.176183,review,你哈。
295,src_29,40.94,41.84,1.02,,,-0.030712,0.011079,-0.348958,-0.193812,review,我们送你。😡
296,src_29,42.52,44.36,1.96,,,0.042060,0.034020,0.006785,-0.001451,review,那我不好意思呀。😔
297,src_29,44.60,47.74,3.26,,,-0.065056,-0.010199,-0.560665,-0.372226,review,我们是说送你去猎嘿。😡
298,src_29,48.76,49.78,1.14,,,0.137986,0.102794,0.637266,0.575213,auto_accept,增强肌肤抵抗力。😡
299,src_29,49.92,51.28,1.48,,,0.166643,0.142439,0.905691,0.907637,auto_accept,修护也要逼分两路。😡
300,src_29,51.46,53.38,2.04,,,0.122549,0.113035,0.625145,0.661090,auto_accept,小天的皮肤摇还小姑。😡
301,src_30,0.16,24.98,24.94,,,0.034564,0.075936,0.155781,0.350012,auto_accept,😀我正在海里洗澡呢，那龙光三太子上来就一拳一拳，呀，这打一条龙你扎小孩，我爹都不打我，我也我也不让着他呀，我就扎他一下，他又打我一拳，我再扎他一下，结果我们两们两人就。😡
302,src_30,25.10,27.98,2.96,,,0.018087,0.067428,0.061340,0.278669,auto_accept,😀哎呦，我的妈。😊
303,src_31,3.16,4.26,1.22,,,0.072950,0.026688,0.086223,-0.062931,review,江南可采莲。
304,src_31,5.10,6.36,1.38,,,0.016398,0.032471,-0.091242,-0.014440,review,莲叶和甜甜。
305,src_31,17.66,19.26,1.72,,,-0.036359,-0.020829,-0.502875,-0.461360,review,江南又到了可以采莲的时候。
306,src_31,20.44,21.76,1.44,,,0.038810,0.016234,-0.079378,-0.150592,review,莲叶长得多么茂盛啊。😡
307,src_31,26.44,27.34,1.02,,,0.018895,-0.033278,-0.357988,-0.565749,review,一会儿游到东面。
308,src_31,36.38,37.54,1.28,,,0.013599,0.022134,-0.144565,-0.101122,review,这是一首采莲歌。
309,src_31,38.30,39.86,1.68,,,0.021924,-0.033015,-0.346082,-0.563543,review,表现了采莲时节的劳动。
310,src_31,46.20,48.24,2.16,,,-0.003297,-0.008685,-0.334036,-0.359531,review,人们感受到一派生机勃勃的景。
311,src_32,0.04,3.44,3.50,,,0.210961,0.147954,1.086891,0.953884,auto_accept,气，你这饼太小了，我给你选个大饼。😡
312,src_32,3.58,5.20,1.74,,,0.015113,-0.039506,-0.397589,-0.617969,review,诶，还有大饼。😊
313,src_32,5.40,11.54,6.26,,,0.062049,0.045075,0.124429,0.091244,review,🎼嗨嗯嗯。😊
314,src_32,11.88,17.88,6.12,,,0.050291,0.108635,0.348962,0.624189,auto_accept,耶，我是大兵大龙鼠要回来了。😊
315,src_32,18.84,19.76,1.04,,,0.115326,0.067225,0.407323,0.276971,auto_accept,在哪里捏？😡
316,src_32,20.94,22.12,1.30,,,0.074571,0.079179,0.312076,0.377208,auto_accept,嗯嗯你。
317,src_32,22.96,25.38,2.50,,,0.019732,0.027089,-0.101916,-0.059573,review,哦。
318,src_33,0.24,2.76,2.64,,,0.132932,0.099634,0.605993,0.548720,auto_accept,小区，这个看起来好好吃呀。
319,src_33,4.22,5.12,1.02,,,0.044173,-0.001422,-0.134269,-0.298633,review,耶。
320,src_33,5.78,7.60,1.94,,,0.034621,0.040096,0.005721,0.049491,review,😭嗯嗯。
321,src_33,7.80,9.48,1.80,,,0.014096,-0.002786,-0.247268,-0.310073,review,怎么？
322,src_33,10.00,10.88,1.00,,,-0.027406,0.012142,-0.332712,-0.184900,review,哎。
323,src_33,11.34,13.60,2.38,,,0.055287,0.059243,0.159710,0.210043,review,哦，我们做朋友吧。😮
324,src_33,13.76,17.40,3.76,,,-0.035636,-0.018923,-0.492306,-0.445383,review,我这人就喜欢交朋友，如果你能打破我的记录，吃什么，我买的。😡
325,src_33,17.62,19.00,1.50,,,0.111171,0.063613,0.377359,0.246681,auto_accept,去不去无所谓。
326,src_33,19.16,33.30,14.26,,,0.092723,0.085030,0.401347,0.426264,auto_accept,主要我也喜欢交朋友刷么么哒。😊
327,src_33,33.46,36.46,3.12,,,-0.021494,-0.024927,-0.467036,-0.495724,review,到大润发及欧尚指店门店彩票上站，玩的越多领。😡
328,src_33,37.20,38.94,1.86,,,-0.017041,-0.006536,-0.374049,-0.341517,review,任务详情以店内公告为准。😡
329,src_33,40.20,41.52,1.44,,,0.017776,0.029323,-0.099527,-0.040840,review,哎呦，我的妈。
330,src_34,0.28,3.26,3.10,,,0.184546,0.159185,1.039759,1.048058,auto_accept,小这做玩那只烧鸡，绝对不是我丢去。😡
331,src_34,3.82,5.44,1.74,,,0.106551,0.111287,0.560754,0.646433,auto_accept,我发去。
332,src_34,9.10,10.02,1.04,,,0.088460,0.058676,0.275656,0.205287,review,这雨下的。
333,src_34,10.16,15.14,5.10,,,-0.060969,-0.056362,-0.739630,-0.759309,review,真让人头的，大头大头下雨不出，别人有伞我有大头。😡
334,src_34,17.50,18.36,0.98,,,0.165366,-0.009322,0.264882,-0.364877,review,这就。
335,src_34,18.54,23.40,4.98,,,0.116915,0.139373,0.715470,0.881931,auto_accept,你以为我怕你吗？我根本不在怕的。😡
336,src_34,23.52,26.80,3.40,,,0.015610,0.091054,0.151557,0.476774,auto_accept,我发誓。😡
337,src_35,0.04,2.26,2.32,,,0.176147,0.115205,0.825413,0.679279,auto_accept,肯去还我肯定哥。😊
338,src_35,5.22,7.38,2.28,,,0.108029,0.078744,0.429588,0.373560,auto_accept,危险危险危险，好久不。😊
339,src_35,8.56,11.18,2.74,,,-0.023133,-0.020231,-0.453193,-0.456345,review,不是说这个这里不能烤地瓜。😡
340,src_35,11.36,12.68,1.44,,,-0.079215,-0.084100,-0.921002,-0.991892,auto_reject,天气干燥，容易起火。😡
341,src_35,12.98,15.46,2.60,,,0.112017,0.129674,0.657336,0.800601,auto_accept,就这么一点火还威险？😮
342,src_35,16.62,18.44,1.94,,,0.039955,-0.000663,-0.146130,-0.292269,review,啊着火了啊啊，小心。
343,src_35,19.00,22.36,3.48,,,0.050668,0.060527,0.148618,0.220808,review,有只。😊
344,src_35,23.24,25.18,2.06,,,0.088796,0.061891,0.290332,0.232244,auto_accept,麦龙。
345,src_35,27.54,36.42,9.00,,,0.021034,0.003926,-0.194379,-0.253789,review,🎼你和我那么像trale都一样绿马，黑马，这蓝雨的避风战马战那。😊
346,src_35,36.64,42.78,6.26,,,0.026238,-0.058681,-0.438298,-0.778752,review,🎼冷唱得如烟以后。😊
347,src_35,43.28,48.12,4.96,,,0.127744,0.125631,0.696482,0.766705,auto_accept,妖毛哥哥，我再也不玩火了你。😔
348,src_36,1.72,3.46,1.86,,,0.128524,0.066977,0.453356,0.274888,auto_accept,看我不把你们的钱包榨干。😡
349,src_36,4.06,6.22,2.28,,,0.173234,0.076760,0.653842,0.356919,auto_accept,发飙了发飙了嗯。😡
350,src_36,7.28,8.50,1.34,,,0.121779,0.124769,0.671591,0.759473,auto_accept,丢发飙了。😡
351,src_36,9.42,11.22,1.92,,,0.171661,0.088395,0.697012,0.454479,auto_accept,不要放飙啊。😡
352,src_36,11.60,13.92,2.44,,,0.155648,0.098533,0.682402,0.539487,auto_accept,帮抱龙，你快憋回去。😡
353,src_36,15.54,17.14,1.72,,,0.098231,0.052190,0.283314,0.150904,review,哼，我发的是飞镖。😡
354,src_36,17.70,18.72,1.14,,,0.142529,0.113037,0.696415,0.661101,auto_accept,10.1标。😡
355,src_36,19.18,23.90,4.84,,,0.144555,0.097869,0.640052,0.533923,auto_accept,击中靶仙，大奖都归你稳我要玩我要稳。😡
356,src_36,25.20,26.00,0.92,,,0.148561,0.088931,0.616866,0.458974,auto_accept,是我一。😡
357,src_36,27.34,28.80,1.58,,,0.003116,0.010132,-0.232271,-0.201751,review,B。
358,src_36,33.24,34.20,1.08,,,0.163319,0.096759,0.702324,0.524614,auto_accept,要干嘛？😡
359,src_36,34.60,36.02,1.54,,,0.191291,0.068266,0.682636,0.285695,auto_accept,根本不算哦。😡
360,src_36,36.26,37.32,1.18,,,0.091342,0.087973,0.408764,0.450946,auto_accept,为着马子发射。😡
361,src_36,42.66,45.18,2.64,,,0.167310,0.127220,0.844267,0.780027,auto_accept,再吃我一边哦哦。😡
362,src_36,46.46,47.78,1.44,,,0.125717,0.054279,0.390105,0.168414,review,没那么简单。😡
363,src_36,49.56,51.50,2.06,,,0.001512,-0.015574,-0.345766,-0.417302,review,啊，你作弊。
364,src_36,52.20,54.28,2.20,,,0.129888,0.120884,0.684227,0.726900,auto_accept,你要你管神龙。😡
365,src_36,54.52,55.68,1.28,,,0.057674,0.104778,0.359127,0.591852,auto_accept,哎喂。😊
366,src_36,62.00,62.92,1.04,,,0.026892,0.073598,0.118617,0.330412,auto_accept,诶。
367,src_36,67.40,68.68,1.40,,,0.105714,0.125982,0.619377,0.769648,auto_accept,啊。
368,src_36,70.54,72.38,1.96,,,0.208126,0.137002,1.030860,0.862048,auto_accept,谢谢你的奖品哦。😊
369,src_36,74.30,75.38,1.20,,,0.144495,0.076791,0.551467,0.357179,auto_accept,万千你。
370,src_36,76.74,79.26,2.64,,,0.156590,0.131463,0.823824,0.815609,auto_accept,急了吧。
371,src_37,2.70,3.86,1.28,,,0.055174,0.039572,0.076835,0.045100,review,可泥。
372,src_37,7.08,8.96,2.00,,,0.023253,-0.024894,-0.307295,-0.495447,review,什么狗单杠漏电吗？😡
373,src_37,11.26,12.46,1.32,,,0.017481,0.010959,-0.177568,-0.194822,review,嗯。
374,src_37,13.90,16.00,2.22,,,0.157708,0.125783,0.803995,0.767976,auto_accept,这我吃太饱了。😔
375,src_37,20.74,21.62,1.00,,,0.035430,-0.006789,-0.187954,-0.343635,review,深秋不怕。😡
376,src_37,21.94,22.78,0.96,,,0.015949,0.005665,-0.205225,-0.239207,review,何昌毅。
377,src_37,23.10,23.90,0.92,,,0.062018,0.033850,0.077258,-0.002877,review,速度没。
378,src_37,24.26,27.02,2.88,,,0.109662,0.068002,0.390375,0.283483,auto_accept,7K56专利蜘珠。
379,src_37,27.16,28.88,1.84,,,0.098190,0.013217,0.119774,-0.175886,review,丰富膳食纤维。
380,src_37,29.00,30.46,1.58,,,0.101108,0.040894,0.246216,0.056185,review,天赏一只。
381,src_37,34.30,35.68,1.50,,,0.091139,0.100481,0.460474,0.555818,auto_accept,喂。
382,src_37,36.30,37.34,1.16,,,0.102787,0.106839,0.528680,0.609133,auto_accept,好好。😊
383,src_37,37.48,49.96,12.60,,,0.176661,0.114154,0.822839,0.670466,auto_accept,嗯，语气太神，黑上我爱你的心满满，想你一会又一会吧。辛公主耶。😊
384,src_37,50.30,51.24,1.06,,,0.146628,0.131203,0.787198,0.813425,auto_accept,肚嘟舒服。
385,src_37,53.16,54.94,1.90,,,0.226660,0.144083,1.126656,0.921426,auto_accept,深真有罩义。
386,src_37,55.22,56.46,1.36,,,0.106612,0.141488,0.687587,0.899665,auto_accept,速度有。
387,src_37,56.60,57.56,1.08,,,0.133516,0.121727,0.700701,0.733966,auto_accept,周立。😡
388,src_38,5.94,7.06,1.24,,,0.060305,0.029813,0.054225,-0.036729,review,。😊
389,src_38,8.66,10.50,1.96,,,0.025829,0.048172,0.008224,0.117214,review,嗯嗯嗯。😊
390,src_38,12.60,13.62,1.14,,,0.095085,0.047049,0.250539,0.107792,review,读不出。
391,src_38,14.22,15.54,1.44,,,0.099994,0.043936,0.254995,0.081691,review,和超蝇。
392,src_38,17.88,19.94,2.18,,,0.079637,0.108097,0.451384,0.619684,auto_accept,哦，水车。
393,src_38,20.06,21.54,1.60,,,0.124955,0.047410,0.358594,0.110825,review,东风和城。
394,src_38,25.34,27.96,2.74,,,0.161291,0.100715,0.711675,0.557783,auto_accept,，我的穿妖精。
395,src_38,29.24,30.18,1.06,,,0.119393,0.028922,0.261243,-0.044200,review,你个唱。😡
396,src_38,30.84,31.88,1.16,,,0.075850,0.046437,0.179365,0.102660,review,哼哼你。
397,src_38,32.42,35.16,2.86,,,0.115738,0.065050,0.399675,0.258736,auto_accept,跟着我，你们都快抓进一封。
398,src_38,35.30,40.38,5.20,,,0.144820,0.024730,0.334358,-0.079355,review,嘟嘟用锅笔跟着我转转又冲心哦，嘟嘟有动力。
399,src_38,40.54,41.60,1.18,,,0.102240,0.085222,0.436098,0.427871,auto_accept,呵呵嘿音。😊
400,src_38,42.64,45.10,2.58,,,0.152006,0.114803,0.737627,0.675916,auto_accept,让我们一起喝仗义。😡
401,src_38,45.26,46.40,1.26,,,0.102073,0.128004,0.614866,0.786603,auto_accept,用用。
402,src_38,49.72,50.70,1.10,,,0.133479,0.115385,0.673981,0.680788,auto_accept,用力。😡
403,src_38,51.62,53.72,2.22,,,0.046188,0.048411,0.081841,0.119212,review,🎼嘿嘿。😊
404,src_39,0.04,1.54,1.60,,,0.057238,0.121220,0.426509,0.729718,auto_accept,嗯啊5。
405,src_39,2.04,3.70,1.78,,,0.230767,0.195113,1.355250,1.349314,auto_accept,一小时过去了。
406,src_39,4.34,5.68,1.46,,,0.129014,0.104873,0.613980,0.592645,auto_accept,还没有鱼养。😊
407,src_39,7.34,8.18,0.96,,,-0.129253,-0.096342,-1.150802,-1.094542,auto_reject,再等等就有了。😡
408,src_39,10.84,13.04,2.32,,,0.116121,0.056171,0.363816,0.184285,review,嘿哦哈哈。😊
409,src_39,16.94,18.14,1.32,,,-0.086653,0.026089,-0.485564,-0.067959,review,嗨。
410,src_39,19.34,21.88,2.66,,,-0.053896,0.012115,-0.427310,-0.185127,review,嗯，这个地方的鱼根本就不咬钩。😡
411,src_39,23.60,24.52,1.04,,,0.039523,0.096344,0.259031,0.521136,auto_accept,嗯，我。
412,src_39,24.64,25.86,1.34,,,0.120940,0.060645,0.399761,0.221798,review,帮你问问。😔
413,src_39,32.00,33.54,1.66,,,0.153543,0.162940,0.944919,1.079539,auto_accept,你们为什么不要？😡
414,src_39,34.46,35.34,1.00,,,0.161702,0.079222,0.623032,0.377564,auto_accept,我就不吃。😡
415,src_39,35.66,37.04,1.50,,,0.154819,0.105488,0.708605,0.597806,auto_accept,还想吃啥？
416,src_39,37.26,39.56,2.42,,,0.197750,0.157742,1.080804,1.035951,auto_accept,你难道想让我做鱼饵吗？😡
417,src_39,40.58,43.02,2.56,,,0.016315,0.034011,-0.085081,-0.001531,review,啊啊嗯。😊
418,src_39,44.50,51.00,6.62,,,-0.020106,0.023101,-0.260727,-0.093006,review,嗯，不是这样摇后的，刮过奶。😡
419,src_40,2.70,3.58,1.00,,,0.144600,0.137299,0.805522,0.864542,auto_accept,肚子填饱。😡
420,src_40,3.70,4.78,1.20,,,0.121020,0.100072,0.565340,0.552390,auto_accept,爸啊我。
421,src_40,5.08,6.28,1.32,,,-0.051451,-0.021715,-0.560418,-0.468788,review,木画。
422,src_40,6.80,8.38,1.70,,,-0.050919,-0.059942,-0.718789,-0.789326,review,不愧是老吃家。😡
423,src_40,11.70,13.00,1.42,,,0.114990,0.037400,0.281082,0.026890,review,姐姐姐。
424,src_40,14.26,16.76,2.62,,,0.120690,0.027632,0.260460,-0.055021,review,尝着我最新修炼的铁头功吧。😡
425,src_40,17.78,20.52,2.86,,,0.045866,0.066520,0.156615,0.271061,auto_accept,啊，起重了。
426,src_40,23.58,24.96,1.50,,,0.048844,0.011702,-0.062587,-0.188587,review,怎么了？
427,src_40,28.00,29.52,1.64,,,0.146171,0.160154,0.906948,1.056184,auto_accept,找你的铁头。😡
